settlement,region,population
Пушкино,Республика Крым,2454
Беленькое,Белгородская область,1463
Обухово,Московская область,10205
Ключи,Красноярский край,1355
Пролетарский,Краснодарский край,3015
Газимурский Завод,Забайкальский край,2628
Ловцы,Московская область,1073
Дворянское,Волгоградская область,1664
Новоорск,Оренбургская область,11280
Агалатово,Ленинградская область,6113
Корнилово,Алтайский край,1214
Новоселицы,Новгородская область,1840
Кинель-Черкассы,Самарская область,16306
Оржицы,Ленинградская область,2696
Вольное,Омская область,1007
Кюсюр,Республика Саха (Якутия),1218
Чертково,Ростовская область,10476
Никольское,Вологодская область,1467
Половинное,Курганская область,5837
Агуй-Шапсуг,Краснодарский край,2223
Судженка,Кемеровская область,1188
Верхоянск,Республика Саха (Якутия),1095
Садовый,Саратовская область,1469
Березовка,Тамбовская область,1057
Орехово,Республика Крым,3049
Первомайское,Алтайский край,11460
Добрушино,Республика Крым,1213
Еманжелинка,Челябинская область,4474
Верхнее Казанище,Республика Дагестан,7694
Дубенцовская,Ростовская область,1339
Северка,Алтайский край,1726
Новокрымское,Республика Крым,1081
Озерки,Саратовская область,2278
Павловка,Алтайский край,1504
Джейрах,Республика Ингушетия,1874
Ковардицы,Владимирская область,1545
Лунево,Московская область,4004
Колмогорово,Кемеровская область,1570
Сазоново,Вологодская область,2921
Ильинское,Кировская область,1781
Славск,Калининградская область,4330
Сампур,Тамбовская область,1628
Апастово,Республика Татарстан,5277
Васильевское,Ивановская область,1199
Лопуховка,Саратовская область,1258
Советский,Краснодарский край,6097
Зольская,Ставропольский край,9400
Марьевка,Самарская область,1730
Борисово,Московская область,2285
Черби,Республика Тыва,1148
Ржевка,Белгородская область,3063
Эльтаркач,Карачаево-Черкесская республика,3263
Ленинский,Краснодарский край,1992
Дейское,Кабардино-Балкарская республика,4704
Сотницыно,Рязанская область,2643
Антонов,Волгоградская область,1504
Загорянский,Московская область,7997
Никольский,Ленинградская область,2778
Васильково,Калининградская область,4632
Высокое,Рязанская область,1954
Красная Поляна,Кировская область,6561
Батурино,Томская область,2907
Каменка,Московская область,1576
Восточное,Красноярский край,1647
Богородск,Нижегородская область,33931
Харик,Иркутская область,2206
Кадая,Забайкальский край,1116
Красный Яр,Тульская область,1252
Вязовка,Саратовская область,3859
Рождествено,Московская область,4334
Новая,Забайкальский край,9408
Новый Борч,Республика Дагестан,1605
Мензелинск,Республика Татарстан,16968
Семилуки,Воронежская область,29413
Красная Пойма,Московская область,3051
Успенка,Тюменская область,2112
Ключи,Кировская область,1082
Белый Яр,Республика Хакасия,10311
Колосовка,Омская область,5566
Запрудное,Нижегородская область,1829
Отрадное,Брянская область,2111
Греческое,Ставропольский край,1100
Раздор,Астраханская область,1420
Нижние Пены,Белгородская область,1025
Алферово,Московская область,1070
Верхняя Жемтала,Кабардино-Балкарская республика,1651
Васильевка,Пензенская область,1079
Тавричанка,Приморский край,7947
Бессергеневская,Ростовская область,2070
Черняховск,Калининградская область,36255
Рассвет,Республика Башкортостан,1269
Сельхозтехника,Московская область,1199
Павловское,Московская область,3192
Черепеть,Тульская область,1294
Верхний Куркужин,Кабардино-Балкарская республика,3112
Степаньково,Московская область,1408
Ждановка,Оренбургская область,1143
Ымыяхтах,Республика Саха (Якутия),1246
Ильинское,Калужская область,1357
Покровка,Воронежская область,2797
Родино,Алтайский край,9497
Советское,Республика Дагестан,7279
Орловка,Красноярский край,1218
Первомайский,Алтайский край,2274
Грачев,Ростовская область,1095
Южный,Краснодарский край,17509
Тимонино,Московская область,1591
Рябово,Ленинградская область,4031
Нижние Ачалуки,Республика Ингушетия,5431
Половинка,Пермский край,1447
Ольховка,Пермский край,2542
Чкалово,Саратовская область,1127
Аскиз,Республика Хакасия,12944
Козьмодемьяновка,Тамбовская область,1332
Чулки-Соколово,Московская область,1235
Васильевка,Самарская область,4622
Елкин,Ростовская область,3304
Ивановка,Тамбовская область,2756
Татарск,Новосибирская область,23523
Михайловка,Саратовская область,2894
Нижние Киги,Республика Башкортостан,1103
Владиславовка,Республика Крым,4157
Шордаково,Кабардино-Балкарская республика,1705
Чёрная Речка,Томская область,1289
Михайловка,Ростовская область,2264
Рыбачье,Республика Крым,1414
Алябьевский,Ханты-Мансийский автономный округ - Югра,2307
Манас,Республика Дагестан,5922
Тугулым,Свердловская область,6459
Кяхта,Республика Бурятия,20157
Малая Арешевка,Республика Дагестан,1831
Кашира,Московская область,41870
Владимировская,Ростовская область,1041
Николаевка,Оренбургская область,1386
Ельцовка,Алтайский край,4166
Барановка,Саратовская область,1662
Мазанка,Республика Крым,2564
Петровское,Московская область,3080
Первомайский,Краснодарский край,12801
Манино,Воронежская область,1996
Бычиха,Хабаровский край,1757
Красноуфимск,Свердловская область,38988
Ибреси,Чувашская республика,7724
Кузнецово,Московская область,1588
Песковка,Кировская область,4548
Каменный,Волгоградская область,1463
Красносамарское,Самарская область,1527
Елшанка,Саратовская область,4159
Долгий Мост,Красноярский край,2254
Русский Кукмор,Республика Марий Эл,1568
Садовый,Краснодарский край,6896
Бузиновская,Краснодарский край,1386
Октябрьский,Краснодарский край,19197
Линда,Нижегородская область,4480
Старонижестеблиевская,Краснодарский край,10230
Нур-Селение,Республика Бурятия,2575
Крест-Хальджай,Республика Саха (Якутия),1339
Вырица,Ленинградская область,12187
Ассоколай,Республика Адыгея,1466
Октябрьский,Саратовская область,2650
Новоаганск,Ханты-Мансийский автономный округ - Югра,9492
Чучково,Рязанская область,2619
Новокаре,Республика Дагестан,1544
Первомайский,Ростовская область,3495
Быстровка,Новосибирская область,1013
Дюртюли,Республика Башкортостан,32109
Правокумское,Ставропольский край,5700
Нижняя Салда,Свердловская область,17387
Бетьки,Республика Татарстан,3248
Большой Лог,Ростовская область,4420
Красный Яр,Республика Башкортостан,1910
Тонкино,Нижегородская область,5189
Аксай,Волгоградская область,1387
Русский Турек,Кировская область,1022
Орловка,Ставропольский край,5200
Этока,Ставропольский край,2900
Луговое,Омская область,1268
Савино,Пермский край,2003
Александровка,Воронежская область,5585
Архангельское,Кировская область,1221
Алексеевка,Омская область,4076
Новофедоровка,Республика Крым,5829
Монино,Тверская область,1122
Лебяжье,Ульяновская область,1054
Большой Букор,Пермский край,2122
Бор,Ленинградская область,3775
Советский,Вологодская область,1270
Малиновка,Томская область,3103
Лобня,Московская область,74252
Кудымкар,Пермский край,31265
Крыловская,Краснодарский край,18680
Ржавки,Московская область,4038
Пено,Тверская область,3559
Нижнеспасское,Тамбовская область,2095
Ис,Свердловская область,4164
Березник,Архангельская область,6090
Космынино,Костромская область,1628
Отрадное,Республика Крым,1619
Кизляр,Республика Дагестан,49229
Кумакское,Оренбургская область,1004
Серково,Нижегородская область,1108
Марьино,Московская область,1935
Красная Горка,Нижегородская область,2764
Никольское,Московская область,1405
Шумейка,Саратовская область,1540
Путеец,Республика Коми,1065
Стулово,Кировская область,3801
Подгорный,Республика Татарстан,1408
Сосновка,Алтайский край,1708
Утяк,Курганская область,1767
Таловка,Волгоградская область,1981
Первомайский,Удмуртская республика,6474
Чишма,Республика Башкортостан,1707
Новостройка,Кемеровская область,4204
Первомайский,Челябинская область,12278
Хумалаг,Республика Северная Осетия - Алания,3624
Сивух,Республика Дагестан,4029
Варгаши,Курганская область,9724
Федоровка,Челябинская область,4016
Тайшет,Иркутская область,32754
Пушкари,Тамбовская область,1174
Первомайский,Кировская область,3760
Свобода,Курская область,2311
Судак,Республика Крым,32488
Донское,Оренбургская область,2643
Корткерос,Республика Коми,4502
Иогач,Республика Алтай,1348
Морозовка,Воронежская область,1589
Новый Изборск,Псковская область,1385
Оленья Губа,Мурманская область,1150
Каменка,Тюменская область,1548
Красночервонный,Ставропольский край,1700
Городня,Тверская область,1578
Ленинский,Астраханская область,148717
Кубина,Карачаево-Черкесская республика,3024
Струги Красные,Псковская область,6909
Алексеевка,Саратовская область,4291
Новый Мир,Челябинская область,1036
Волочаевка-2,Еврейская автономная область,1810
Чири-Юрт,Чеченская республика,6532
Николаевка,Республика Башкортостан,6402
Моховое,Орловская область,1594
Беловка,Оренбургская область,1010
Синдор,Республика Коми,2094
Панковка,Новгородская область,9934
Рощино,Челябинская область,7590
Колесниково,Тюменская область,1198
Хвойная,Новгородская область,5901
Колхозный,Ульяновская область,1696
Правда,Республика Крым,1474
Пригородный,Краснодарский край,8424
Гельбах,Республика Дагестан,1540
Первомайское,Ростовская область,2545
Нижнесортымский,Ханты-Мансийский автономный округ - Югра,11824
Голубинская,Волгоградская область,1129
Степановский,Оренбургская область,2285
Порхов,Псковская область,8926
Куликово,Ивановская область,1210
Подгорное,Липецкая область,2818
Тюльган,Оренбургская область,9600
Октябрьский,Пермский край,10693
Подберезье,Новгородская область,3176
Березовка,Саратовская область,3046
Провидения,Чукотский автономный округ,2151
Дуба-Юрт,Чеченская республика,7135
Павловка,Саратовская область,1959
Кашары,Ростовская область,6326
Маркова,Иркутская область,29141
Звездный,Кабардино-Балкарская республика,1386
Уваровка,Республика Крым,1136
Покровское,Орловская область,4444
Новоселки,Нижегородская область,2435
Бугуруслан,Оренбургская область,48669
Новоникольское,Московская область,1475
Уральский,Свердловская область,2434
Синеборск,Красноярский край,1191
Шелково,Псковская область,1249
Маяк,Хабаровский край,1519
Новое,Ярославская область,1240
Монастырщина,Смоленская область,4057
Ахмерово,Республика Башкортостан,1568
Джубга,Краснодарский край,5621
Афипский,Краснодарский край,22155
Петропавловка,Амурская область,1023
Шадринск,Курганская область,75623
Светлогорск,Красноярский край,1014
Заболотье,Московская область,1518
Дракино,Воронежская область,3086
Гавриловка,Нижегородская область,1909
Каменка,Ленинградская область,6204
Верх-Чебула,Кемеровская область,4584
Вознесеновка,Воронежская область,1248
Новоуколово,Белгородская область,1283
Уташ,Краснодарский край,2181
Клементьево,Московская область,1023
Покровское,Свердловская область,6340
Ульяновка,Омская область,1131
Ягодное,Томская область,1385
Фоминское,Ярославская область,2299
Майский,Тульская область,3122
Кротовка,Ульяновская область,1649
Уктур,Хабаровский край,1488
Малиновка,Амурская область,1232
Измайлово,Московская область,1626
Димитровский,Оренбургская область,1109
Красногвардейское,Республика Крым,12575
Боровлянка,Алтайский край,1953
Муги,Республика Дагестан,3080
Красный Яр,Омская область,6812
Южный,Челябинская область,1915
Степное,Алтайский край,1448
Дубна,Тульская область,5673
Красноселовка,Воронежская область,1307
Зыково,Красноярский край,5924
Куйбышево,Алтайский край,1534
Раздольное,Волгоградская область,1365
Авдон,Республика Башкортостан,5467
Владимировка,Республика Крым,1705
Новоромановское,Ставропольский край,1681
Белозерск,Вологодская область,8786
Константиновка,Пензенская область,1133
Дубовицы,Новгородская область,2534
Краснокамск,Пермский край,53864
Прогресс,Краснодарский край,5548
Северный,Республика Дагестан,3741
Шилыково,Ивановская область,1816
Гостицы,Ленинградская область,1382
Ваганово,Кемеровская область,1335
Новый Мир,Хабаровский край,1068
Карагас,Республика Дагестан,1772
Первомайское,Республика Дагестан,11966
Сюмси,Удмуртская республика,5068
Вострецово,Приморский край,1138
Алексеевка,Белгородская область,42027
Успеновка,Амурская область,1199
Кирпичный,Краснодарский край,1145
Кингисеппский,Ленинградская область,2394
Калинино,Краснодарский край,22698
Саратовка,Оренбургская область,1295
Бобровка,Челябинская область,3487
Депутатский,Республика Саха (Якутия),2968
Арсланово,Республика Башкортостан,2118
Подосинки,Московская область,1988
Александровка,Тульская область,1051
Боголюбовка,Омская область,1655
Стрелецкое,Белгородская область,9315
Житнево,Московская область,1436
Богдановка,Самарская область,2822
Усть-Уса,Республика Коми,1008
Баймак,Республика Башкортостан,20044
Фрунзе,Республика Крым,4156
Верх-Усугли,Забайкальский край,2485
Радовицкий,Московская область,1931
Раздольный,Краснодарский край,1062
Кневичи,Приморский край,2888
Архангельское,Республика Башкортостан,4399
Большой Атмас,Омская область,2035
Александровка,Республика Башкортостан,1885
Хохотуй,Забайкальский край,1460
Батальное,Республика Крым,1275
Крымское,Республика Крым,1822
Седкыркещ,Республика Коми,2297
Прудбой,Волгоградская область,1080
Кавказская,Краснодарский край,11148
Верх-Обский,Алтайский край,1168
Раздольное,Новосибирская область,4935
Кирба,Республика Хакасия,1325
Луговое,Ульяновская область,1540
Сеченово,Нижегородская область,5704
Золотое Поле,Республика Крым,2543
Красноармейск,Республика Дагестан,3803
Валуйки,Белгородская область,33433
Русский Акташ,Республика Татарстан,4342
Аксаково,Республика Башкортостан,2048
Ясная Поляна,Пензенская область,1278
Богдашкино,Ульяновская область,1401
Бетти-Мохк,Чеченская республика,1129
Ардон,Республика Северная Осетия - Алания,19412
Солгон,Красноярский край,1345
Нагорное,Московская область,1408
Красное,Краснодарский край,5366
Желябовка,Республика Крым,2669
Семенково,Московская область,1069
Александровка,Московская область,1905
Попов,Волгоградская область,2196
Невское,Калининградская область,1594
Салым,Ханты-Мансийский автономный округ - Югра,6535
Новопетровское,Республика Башкортостан,1192
Самосделка,Астраханская область,1233
Шадрино,Нижегородская область,1063
Нерюнгри,Республика Саха (Якутия),56888
Атаманово,Кемеровская область,2704
Плодовое,Ленинградская область,1516
Большие Базы,Воронежская область,2917
Сергиевское,Республика Адыгея,4326
Дмитриевка,Республика Башкортостан,6829
Садовое,Калининградская область,1674
Никольское,Орловская область,2808
Андреевка,Республика Татарстан,1039
Холм,Новгородская область,3430
Большая Ока,Республика Башкортостан,1464
Александровка,Республика Мордовия,1600
Приозерный,Ямало-Ненецкий автономный округ,1230
Рассвет,Тюменская область,1149
Санчи,Республика Дагестан,1953
Калач-на-Дону,Волгоградская область,24092
Костино,Московская область,1119
Виноградный,Краснодарский край,5690
Белушья Губа,Архангельская область,3151
Большая Соснова,Пермский край,4514
Барсуки,Тульская область,3053
Сосновка,Кемеровская область,3811
Краснообск,Новосибирская область,26241
Соболево,Московская область,1273
Высокое,Тверская область,1182
Большое Окулово,Нижегородская область,1548
Давыдово,Московская область,11112
Комсомольский,Челябинская область,1444
Малая Салаирка,Кемеровская область,1265
Солнечный,Курская область,2358
Кадырово,Республика Башкортостан,1288
Алексеевка,Тамбовская область,1560
Хатыстыр,Республика Саха (Якутия),1351
Сухая Березовка,Воронежская область,1115
Шагонар,Республика Тыва,11063
Синявское,Ростовская область,3604
Любань,Ленинградская область,4188
КудиябРосо,Республика Дагестан,2678
Ракиты,Алтайский край,3187
Бырка,Забайкальский край,1260
Дедовск,Московская область,29108
Переясловская,Краснодарский край,7929
Сатка,Челябинская область,42214
Куеда,Пермский край,9894
Старица,Астраханская область,1975
Петровская,Краснодарский край,12032
Ургакш,Республика Марий Эл,1371
Новотроицкое,Красноярский край,1258
Ароматное,Республика Крым,2644
Муни,Республика Дагестан,3220
Прикубанский,Краснодарский край,5926
Абдулино,Оренбургская область,18768
Волошово,Ленинградская область,1099
Калтук,Иркутская область,1493
Михайловка,Кемеровская область,1031
Кучерла,Ставропольский край,1300
Воскресенское,Вологодская область,1432
Октябрьский,Иркутская область,5004
Селищи,Республика Мордовия,1106
Лопатино,Пензенская область,4356
Нюрдор-Котья,Удмуртская республика,1015
Лесной,Алтайский край,1683
Усун-Кюель,Республика Саха (Якутия),2286
Кытлым,Свердловская область,1374
Сергеевка,Республика Башкортостан,1091
Рождествено,Республика Мордовия,1282
Таврическое,Омская область,12669
Мураши,Кировская область,6034
Шиназ,Республика Дагестан,1206
Агириш,Ханты-Мансийский автономный округ - Югра,2354
Жуланка,Новосибирская область,1122
Башкирская Ургинка,Республика Башкортостан,1022
Ерзовка,Волгоградская область,6407
Юхари-Стал,Республика Дагестан,1922
Раевская,Краснодарский край,13270
Реммаш,Московская область,7314
Березовый,Хабаровский край,4833
Каменка,Красноярский край,1560
Красный Бор,Ярославская область,2441
Вейделевка,Белгородская область,6380
Совхоза Татарстан,Республика Татарстан,2594
Падерина,Тюменская область,1151
Никольское,Оренбургская область,2889
Первомайский,Московская область,2935
Добровольное,Ставропольский край,1600
Глубокий,Ростовская область,9698
Солнечный,Ханты-Мансийский автономный округ - Югра,12850
Пировское,Красноярский край,3007
Нежинский,Ставропольский край,3600
Мезень,Архангельская область,3248
Терезе,Карачаево-Черкесская республика,7205
Хорошки,Омская область,1092
Каменка,Нижегородская область,1456
Балтаси,Республика Татарстан,7940
Кырлык,Республика Алтай,1030
Канаш,Чувашская республика,45605
Сретенск,Забайкальский край,6409
Хрущевка,Липецкая область,2495
Первомайское,Саратовская область,3786
Обнинск,Калужская область,115029
Никольское,Нижегородская область,1127
Нарт,Республика Северная Осетия - Алания,1403
Александровка,Республика Татарстан,2545
Головатовка,Ростовская область,1541
Октябрьский,Республика Марий Эл,1315
Шалажи,Чеченская республика,5313
Сурх-Дигора,Республика Северная Осетия - Алания,1939
Тихменево,Ярославская область,1943
Ковернино,Нижегородская область,6940
Гривы,Псковская область,1839
Березово,Воронежская область,2688
Архангельское,Белгородская область,2511
Палкино,Псковская область,3216
Чамзинка,Республика Мордовия,9171
Васильевка,Республика Башкортостан,1545
Загарье,Кировская область,1241
Вурманкасы,Чувашская республика,2960
Новые Лапсары,Чувашская республика,6975
Олуяз,Республика Татарстан,1807
Шилка,Забайкальский край,13136
Сосьва,Свердловская область,6118
Стальское,Республика Дагестан,5729
Шарапово,Московская область,3661
Большой Толкай,Самарская область,1667
Сросты,Алтайский край,1965
Верхнеяркеево,Республика Башкортостан,9384
Большая Дорога,Рязанская область,1162
Новостройка,Московская область,2066
Быньги,Свердловская область,2571
Воскресенское,Тульская область,2373
Леонидовка,Пензенская область,2007
Малый Труев,Пензенская область,1181
Новоселицкое,Ставропольский край,8500
Октябрьский,Самарская область,1852
Островское,Республика Крым,1249
Лисино-Корпус,Ленинградская область,2001
Устье,Вологодская область,4480
Ээрбек,Республика Тыва,1265
Зубова Поляна,Республика Мордовия,9948
Сапожок,Рязанская область,3173
Южное,Республика Дагестан,2456
Марьевка,Воронежская область,1317
Кежемский,Иркутская область,1505
Екатерино-Никольское,Еврейская автономная область,1582
Иннокентьевка,Хабаровский край,1258
Хатукай,Республика Адыгея,5038
Нижнедонской,Ростовская область,1240
Елки,Смоленская область,8776
Кочкурово,Республика Мордовия,3485
Покровка,Оренбургская область,5841
Алтайское,Алтайский край,15594
Первомайский,Тамбовская область,11841
Маслова,Курская область,1447
Ельдигино,Московская область,1172
Кедровый,Красноярский край,5163
Титов,Ростовская область,1055
Дружба,Алтайский край,2081
Хвастовичи,Калужская область,4558
Мирное,Ставропольский край,1200
Кременки,Нижегородская область,1006
Крутово,Владимирская область,1002
Заволжский,Волгоградская область,2159
Войково,Республика Крым,5978
Федосеевка,Белгородская область,2498
Рассвет,Ростовская область,6002
Стерлибашево,Республика Башкортостан,7352
Нижняя Тура,Свердловская область,20217
Кахун,Кабардино-Балкарская республика,7934
Городище,Пензенская область,7842
Красный Яр,Самарская область,8446
Верхняя Сысерть,Свердловская область,1138
Ясное,Калининградская область,1897
Крутиха,Алтайский край,4055
Кардоновка,Республика Дагестан,1992
Семеновское,Московская область,4049
Бокино,Тамбовская область,6306
Белый,Тверская область,3197
